Sequence_ID,Distance_Nearest,Pred_Kingdom,True_Kingdom,Entropy_Kingdom,Match_Kingdom,Pred_Phylum,True_Phylum,Entropy_Phylum,Match_Phylum,Pred_Class,True_Class,Entropy_Class,Match_Class,Pred_Order,True_Order,Entropy_Order,Match_Order,Pred_Family,True_Family,Entropy_Family,Match_Family,Pred_Genus,True_Genus,Entropy_Genus,Match_Genus,Pred_Species,True_Species,Entropy_Species,Match_Species
0,0.9881653189659119,Eukaryota,Eukaryota,0.0,True,Annelida,Annelida,0.9219280948873624,True,Polychaeta,Polychaeta,0.9219280948873624,True,Sabellida,Sabellida,0.9219280948873624,True,Sabellidae,Sabellidae,0.9219280948873624,True,Schizobranchia,Schizobranchia,0.9219280948873624,True,Schizobranchia insignis,Schizobranchia insignis,0.9219280948873624,True
1,0.8690179586410522,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Insecta,Insecta,0.0,True,Lepidoptera,Hymenoptera,1.5219280948873626,False,Coleophoridae,Formicidae,2.9219280948873627,False,Coleophora,Cyphomyrmex,3.121928094887363,False,Coleophora unigenella,Cyphomyrmex salvini,3.121928094887363,False
2,0.9837000370025635,Eukaryota,Eukaryota,0.0,True,Echinodermata,Echinodermata,0.7219280948873623,True,Holothuroidea,Holothuroidea,0.9219280948873624,True,Dendrochirotida,Dendrochirotida,1.6854752972273344,True,Cucumariidae,Cucumariidae,2.1709505944546685,True,Laevocnus,Laevocnus,2.8464393446710154,True,Laevocnus laevigatus,Laevocnus laevigatus,2.8464393446710154,True
3,0.8413664102554321,Eukaryota,Eukaryota,0.0,True,Chlorophyta,Chlorophyta,2.321928094887362,True,Ulvophyceae,Ulvophyceae,2.321928094887362,True,Ulvales,Ulvales,2.321928094887362,True,Ulvaceae,Ulvaceae,2.321928094887362,True,Ulva,Ulva,2.321928094887362,True,Ulva prolifera,Ulva flexuosa,3.121928094887363,False
4,0.929131805896759,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.46899559358928117,True,Insecta,Malacostraca,1.5709505944546687,False,Diptera,Decapoda,2.321928094887362,False,Culicidae,Portunidae,2.8464393446710154,False,Aedes,Charybdis,2.8464393446710154,False,Aedes cinereus,Charybdis lucifera,2.8464393446710154,False
5,0.8997863531112671,Eukaryota,Eukaryota,0.0,True,Chordata,Chordata,0.0,True,Actinopteri,Actinopteri,0.0,True,Chaetodontiformes,Chaetodontiformes,1.9609640474436811,True,Chaetodontidae,Chaetodontidae,1.9609640474436811,True,Chaetodon,Chaetodon,1.9609640474436811,True,Chaetodon ephippium,Chaetodon ephippium,2.1609640474436813,True
6,0.9876279830932617,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Insecta,Insecta,0.0,True,Diptera,Diptera,0.0,True,Scathophagidae,Scathophagidae,0.0,True,Trichopalpus,Trichopalpus,0.0,True,Trichopalpus punctipes,Trichopalpus punctipes,0.0,True
7,0.9613392949104309,Eukaryota,Eukaryota,0.0,True,Mollusca,Mollusca,0.0,True,Gastropoda,Gastropoda,0.0,True,Pteropoda,Pteropoda,0.0,True,Limacinidae,Limacinidae,0.0,True,Limacina,Limacina,0.0,True,Limacina bulimoides,Limacina bulimoides,0.0,True
8,0.8995885252952576,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Malacostraca,Insecta,1.360964047443681,False,Decapoda,Plecoptera,2.721928094887362,False,Hymenosomatidae,Perlidae,2.9219280948873627,False,Hymenosoma,Acroneuria,2.9219280948873627,False,Hymenosoma orbiculare,Acroneuria arenosa,2.9219280948873627,False
9,0.9431043863296509,Eukaryota,Eukaryota,0.0,True,Chordata,Chordata,0.0,True,Mammalia,Mammalia,1.1567796494470395,True,Chiroptera,Chiroptera,2.1219280948873624,True,Vespertilionidae,Vespertilionidae,2.1219280948873624,True,Lasiurus,Lasiurus,2.1219280948873624,True,Lasiurus cinereus,Lasiurus villosissimus,2.1219280948873624,False
10,0.9748789072036743,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Insecta,Insecta,0.0,True,Lepidoptera,Lepidoptera,0.0,True,Geometridae,Geometridae,0.9219280948873624,True,Acasis,Acasis,0.9219280948873624,True,Acasis appensata,Acasis viridata,2.0464393446710156,False
11,0.9979795217514038,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Malacostraca,Malacostraca,0.0,True,Decapoda,Decapoda,0.0,True,Cambaridae,Cambaridae,0.0,True,Lacunicambarus,Lacunicambarus,1.360964047443681,True,Lacunicambarus dalyae,Lacunicambarus dalyae,1.360964047443681,True
12,0.9936649799346924,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.46899559358928117,True,Insecta,Insecta,0.46899559358928117,True,Diptera,Diptera,0.46899559358928117,True,Tephritidae,Tephritidae,0.9219280948873624,True,Anastrepha,Anastrepha,0.9219280948873624,True,Anastrepha fractura,Anastrepha fractura,2.6464393446710157,True
13,0.9906080365180969,Eukaryota,Eukaryota,0.0,True,Arthropoda,Arthropoda,0.0,True,Arachnida,Arachnida,0.9709505944546688,True,Opiliones,Opiliones,1.370950594454669,True,Cladonychiidae,Cladonychiidae,1.9609640474436814,True,Speleonychia,Sinonychia,1.9609640474436814,False,Speleonychia sengeri,Sinonychia martensi,2.1609640474436813,False
