Phylum,Class,Order,Family,Genus,Species,x,y,z
Haptophyta,Isochrysidales,Isochrysidales,Isochrysidaceae,Chrysotila,Chrysotila roscoffensis,15.804624,4.314255,1.8343793
Haptophyta,Isochrysidales,Isochrysidales,Noelaerhabdaceae,Gephyrocapsa,Gephyrocapsa oceanica,7.147326,-0.9176965,3.1951098
Haptophyta,Isochrysidales,Isochrysidales,Isochrysidaceae,Isochrysis,Isochrysis galbana,11.803521,4.5322294,4.3004036
Haptophyta,Phaeocystales,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,8.718998,1.8403519,9.173462
Dinophyceae,Dinophyceae,Gonyaulacales,Crypthecodiniaceae,Crypthecodinium,Crypthecodinium cohnii,17.119484,3.7627516,1.5270592
Euglenozoa,Euglenida,Euglenales,Euglenaceae,Euglena,Euglena gracilis,17.147343,3.7792926,1.5664294
Euglenozoa,Euglenida,Eutreptiales,Eutreptiella,Eutreptiella,Eutreptiella gymnastica,14.794061,1.8865272,4.82159
Dinophyceae,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,13.3119545,12.234587,5.591839
Dinophyceae,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,Scrippsiella trochoidea,10.732091,0.9399481,10.44927
Apicomplexa,Conoidasida,Eucoccidiorida,Sarcocystidae,Toxoplasma,Toxoplasma gondii,14.29466,3.8727202,4.2600756
Xanthophyceae,Xanthophyceae,Botrydiales,Botrydiaceae,Botrydium,Botrydium granulatum,8.709207,1.8894774,9.237541
Eustigmatophyceae,Eustigmatophyceae,Eustigmatales,Chlorobotryaceae,Vischeria,Vischeria magna,6.08599,8.707224,9.548552
Xanthophyceae,Xanthophyceae,Mischococcales,Mischococcaceae,Mischococcus,Mischococcus sphaerocephalus,10.050251,9.643963,9.106321
Xanthophyceae,Xanthophyceae,Mischococcales,Ophiocytiaceae,Ophiocytium,Ophiocytium majus,6.4931583,8.927382,9.354087
Xanthophyceae,Xanthophyceae,Tribonematales,Tribonemataceae,Tribonema,Tribonema aequale,8.210781,7.942061,8.175402
Xanthophyceae,Xanthophyceae,Vaucheriales,Vaucheriaceae,Vaucheria,Vaucheria sessilis,11.50613,5.2908607,4.2070136
Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys olivaceus,15.105624,4.2998357,3.8016927
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna boisduvali,7.83028,8.927148,8.463728
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pusillanima,6.981441,9.280867,9.145095
Arthropoda,Insecta,Coleoptera,Coccinellidae,Epilachna,Epilachna admirabilis,7.04355,9.20426,9.222499
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctopunctata,7.01511,9.25854,9.381275
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1154194,9.178641,9.256287
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.0608964,9.224783,9.3329315
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.0571494,9.212655,9.3491125
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna niponica,7.069663,9.222566,9.340936
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna yasutomii,7.056432,9.234021,9.362461
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1425123,8.789832,9.728278
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1498704,8.791223,9.753962
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1449785,8.810917,9.711628
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.103121,8.829947,9.746228
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.119294,8.799321,9.725803
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.148286,8.785309,9.744446
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.140378,8.797109,9.732884
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctomaculata,7.1650896,8.851855,9.652823
Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna pustulosa,7.2627907,8.628835,9.964471
